# frame  Ti_index  nn_rank  nn_index  nn_symbol  distance_A
22 1 4 14 O 1.9401079866852773
22 2 1 5 O 1.7106153863449258
22 2 2 11 O 1.8057544129809013
22 2 3 14 O 1.9424705917979814
22 2 4 4 O 2.0081735482771403
22 9 1 13 O 1.6509403381103753
22 9 2 3 O 1.8933855920017981
22 9 3 8 O 1.928176599795776
22 9 4 6 O 2.467841567037884
22 10 1 7 O 1.6257887316622657
22 10 2 12 O 1.9421189458938917
22 10 3 5 O 1.960135454503081
22 10 4 11 O 1.9804012219749816
23 0 1 12 O 1.8115410566697074
23 0 2 8 O 1.82927143967209
23 0 3 6 O 1.9127061980346067
23 0 4 14 O 1.9178884221977046
23 1 1 4 O 1.7815611131813582
23 1 2 3 O 1.8173775061885187
23 1 3 6 O 1.8348940023881488
23 1 4 14 O 1.9469126842259772
23 2 1 5 O 1.7067694630500045
23 2 2 11 O 1.8091802010855635
23 2 3 14 O 1.9471417513884293
23 2 4 4 O 2.0121873670212724
23 9 1 13 O 1.6487158639377497
23 9 2 3 O 1.88240537610792
23 9 3 8 O 1.9326991488589216
23 9 4 6 O 2.4668135316638753
23 10 1 7 O 1.6178368273716606
23 10 2 12 O 1.9449547552578186
23 10 3 5 O 1.9618055459193706
23 10 4 11 O 1.985110072514872
24 0 1 12 O 1.807402832796275
24 0 2 8 O 1.8251010930904623
24 0 3 14 O 1.9170284296274795
24 0 4 6 O 1.9204866570741908
24 1 1 4 O 1.7805925979852888
24 1 2 3 O 1.8203203014854281
24 1 3 6 O 1.8296177196343502
24 1 4 14 O 1.9528660988403685
24 2 1 5 O 1.7056951662005728
24 2 2 11 O 1.8128662388604404
24 2 3 14 O 1.9521600856487153
24 2 4 4 O 2.0161946830601454
24 9 1 13 O 1.6444746881603254
24 9 2 3 O 1.8725568082170432
24 9 3 8 O 1.9372292068828614
24 9 4 6 O 2.4643518417628596
24 10 1 7 O 1.6099285698440162
24 10 2 12 O 1.9464136251064417
24 10 3 5 O 1.9632060513354168
24 10 4 11 O 1.9888544441461775
25 0 1 12 O 1.8031666589641677
25 0 2 8 O 1.8196378760621574
25 0 3 14 O 1.9162959061689822
25 0 4 6 O 1.927039439139739
25 1 1 4 O 1.7780357139270293
25 1 2 6 O 1.8242590276602717
25 1 3 3 O 1.8243280954915977
25 1 4 14 O 1.95932437334914
25 2 1 5 O 1.7046976271468206
25 2 2 11 O 1.816012389825576
25 2 3 14 O 1.956326659839813
25 2 4 4 O 2.0198596485894758
25 9 1 13 O 1.6414514918205776
25 9 2 3 O 1.8641595961719586
25 9 3 8 O 1.9414031008525767
25 9 4 6 O 2.463705542470528
25 10 1 7 O 1.604273667427101
25 10 2 12 O 1.9492672982431116
25 10 3 5 O 1.9652554541331262
25 10 4 11 O 1.9934081368350036
26 0 1 12 O 1.7993432135087513
26 0 2 8 O 1.8150446275505183
26 0 3 14 O 1.9144902715866696
26 0 4 6 O 1.9326577555273465
26 1 1 4 O 1.7777851388736492
26 1 2 6 O 1.8190555241663187
26 1 3 3 O 1.827354371762631
26 1 4 14 O 1.965011450348318
26 2 1 5 O 1.7039803402621756
26 2 2 11 O 1.8174930536318425
26 2 3 14 O 1.9621694626101998
26 2 4 4 O 2.024532291666399
26 9 1 13 O 1.6376922787874406
26 9 2 3 O 1.8541372656845017
26 9 3 8 O 1.9468320420621807
26 9 4 6 O 2.4617363790625513
26 10 1 7 O 1.5989924952919572
26 10 2 12 O 1.9526989015206617
26 10 3 5 O 1.967944613041739
